nohup: ignoring input
[09:30:40] Fetched 100 candles.
[09:31:40] Fetched 100 candles.
[09:32:40] Fetched 100 candles.
[09:33:41] Fetched 100 candles.
[09:34:41] Fetched 100 candles.
[09:35:41] Fetched 100 candles.
[09:36:42] Fetched 100 candles.
[09:37:42] Fetched 100 candles.
[09:38:43] Fetched 100 candles.
[09:39:43] Fetched 100 candles.
[09:40:43] Fetched 100 candles.
[09:41:44] Fetched 100 candles.
[09:42:44] Fetched 100 candles.
[09:43:44] Fetched 100 candles.
[09:44:45] Fetched 100 candles.
[09:45:45] Fetched 100 candles.
[09:46:46] Fetched 100 candles.
[09:47:46] Fetched 100 candles.
[09:48:46] Fetched 100 candles.
[09:49:47] Fetched 100 candles.
[09:50:47] Fetched 100 candles.
[09:51:47] Fetched 100 candles.
[09:52:48] Fetched 100 candles.
[09:53:48] Fetched 100 candles.
[09:54:48] Fetched 100 candles.
[09:55:49] Fetched 100 candles.
[09:56:49] Fetched 100 candles.
[09:57:50] Fetched 100 candles.
[09:58:50] Fetched 100 candles.
[09:59:50] Fetched 100 candles.
[10:00:51] Fetched 100 candles.
[10:01:51] Fetched 100 candles.
[10:02:51] Fetched 100 candles.
[10:03:52] Fetched 100 candles.
[10:04:52] Fetched 100 candles.
[10:05:53] Fetched 100 candles.
[10:06:53] Fetched 100 candles.
[10:07:54] Fetched 100 candles.
[10:08:54] Fetched 100 candles.
[10:09:55] Fetched 100 candles.
[10:10:55] Fetched 100 candles.
[10:11:55] Fetched 100 candles.
[10:12:56] Fetched 100 candles.
[10:13:56] Fetched 100 candles.
[10:14:56] Fetched 100 candles.
[10:15:57] Fetched 100 candles.
[10:16:57] Fetched 100 candles.
[10:17:57] Fetched 100 candles.
[10:18:58] Fetched 100 candles.
[10:19:58] Fetched 100 candles.
[10:20:58] Fetched 100 candles.
[10:21:59] Fetched 100 candles.
[10:22:59] Fetched 100 candles.
[10:24:00] Fetched 100 candles.
[10:25:00] Fetched 99 candles.
[10:26:00] Fetched 100 candles.
[10:27:01] Fetched 100 candles.
[10:28:01] Fetched 100 candles.
[10:29:01] Fetched 100 candles.
[10:30:02] Fetched 100 candles.
[10:31:02] Fetched 100 candles.
[10:32:02] Fetched 100 candles.
[10:33:03] Fetched 100 candles.
[10:34:03] Fetched 100 candles.
[10:35:04] Fetched 100 candles.
[10:36:04] Fetched 100 candles.
[10:37:04] Fetched 100 candles.
[10:38:05] Fetched 100 candles.
